xflr5 v6.10.03

Wing name :        bennettwing700
Wing polar name :  T1-20.0 m/s-Panel
Freestream speed :  20.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000   0.404776   0.004089   0.020448   0.024536  -0.000000   0.000000  -0.082905   0.000000   0.000000   20.0000    -0.0376
   -1.500   0.448590   0.005000   0.017728   0.022728  -0.000000   0.000000  -0.073520   0.000000   0.000000   20.0000    -0.0585
   -1.000   0.492354   0.006003   0.015289   0.021292  -0.000000   0.000000  -0.064100   0.000000   0.000000   20.0000    -0.0758
   -0.500   0.536065   0.007097   0.014345   0.021441  -0.000000   0.000000  -0.054697   0.000000  -0.000000   20.0000    -0.0903
    0.000   0.579715   0.008281   0.013985   0.022266  -0.000000   0.000000  -0.045266  -0.000000  -0.000000   20.0000    -0.1027
    0.500   0.623300   0.009556   0.013742   0.023298  -0.000000   0.000000  -0.035790  -0.000000  -0.000000   20.0000    -0.1135
    1.000   0.666813   0.010920   0.013602   0.024522  -0.000000   0.000000  -0.026275  -0.000000  -0.000000   20.0000    -0.1229
    1.500   0.710249   0.012372   0.013510   0.025882  -0.000000   0.000000  -0.016719  -0.000000  -0.000000   20.0000    -0.1312
    2.000   0.753602   0.013912   0.013427   0.027339  -0.000000   0.000000  -0.007124  -0.000000  -0.000000   20.0000    -0.1386
    2.500   0.796867   0.015539   0.013215   0.028754  -0.000000   0.000000   0.002511  -0.000000  -0.000000   20.0000    -0.1453
    3.000   0.840039   0.017251   0.013092   0.030343  -0.000000   0.000000   0.012177  -0.000000  -0.000000   20.0000    -0.1514
    3.500   0.883110   0.019049   0.012970   0.032019  -0.000000   0.000000   0.021876  -0.000000  -0.000000   20.0000    -0.1569
    4.000   0.926077   0.020929   0.012860   0.033789  -0.000000   0.000000   0.031602  -0.000000  -0.000000   20.0000    -0.1620
    4.500   0.968933   0.022893   0.012770   0.035663  -0.000000   0.000000   0.041355  -0.000000  -0.000000   20.0000    -0.1667
    5.000   1.011673   0.024938   0.012733   0.037670  -0.000000   0.000000   0.051130  -0.000000  -0.000000   20.0000    -0.1710
    5.500   1.054292   0.027062   0.012736   0.039799  -0.000000   0.000000   0.060924  -0.000000  -0.000000   20.0000    -0.1751
    6.000   1.096784   0.029266   0.012765   0.042031  -0.000000   0.000000   0.070736  -0.000000  -0.000000   20.0000    -0.1789
    6.500   1.139143   0.031547   0.012834   0.044381  -0.000000   0.000000   0.080562  -0.000000  -0.000000   20.0000    -0.1824
    7.000   1.181366   0.033903   0.012976   0.046879  -0.000000   0.000000   0.090400  -0.000000  -0.000000   20.0000    -0.1858
    7.500   1.223446   0.036334   0.013221   0.049554  -0.000000   0.000000   0.100246  -0.000000  -0.000000   20.0000    -0.1890
    8.000   1.265378   0.038837   0.013576   0.052413  -0.000000   0.000000   0.110099  -0.000000  -0.000000   20.0000    -0.1920


