xflr5 v6.10.03

Wing name :        bennettwing700
Wing polar name :  T1-40.0 m/s-VLM1
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000   0.328879   0.002832   0.020680   0.023512  -0.000000   0.000000  -0.098468   0.000000   0.000000   40.0000     0.0047
   -1.500   0.373583   0.003612   0.017856   0.021468  -0.000000   0.000000  -0.090325  -0.000000  -0.000000   40.0000    -0.0238
   -1.000   0.418229   0.004487   0.014410   0.018897  -0.000000  -0.000000  -0.082132   0.000000  -0.000000   40.0000    -0.0463
   -0.500   0.462811   0.005459   0.011846   0.017305  -0.000000   0.000000  -0.073969   0.000000   0.000000   40.0000    -0.0644
    0.000   0.507318   0.006525   0.010749   0.017275  -0.000000   0.000000  -0.065859   0.000000  -0.000000   40.0000    -0.0793
    0.500   0.551744   0.007686   0.010443   0.018129  -0.000000   0.000000  -0.057768  -0.000000   0.000000   40.0000    -0.0918
    1.000   0.596079   0.008941   0.010416   0.019358  -0.000000   0.000000  -0.049672  -0.000000  -0.000000   40.0000    -0.1025
    1.500   0.640316   0.010290   0.010418   0.020707  -0.000000   0.000000  -0.041562  -0.000000  -0.000000   40.0000    -0.1117
    2.000   0.684446   0.011730   0.010439   0.022169  -0.000000  -0.000000  -0.033441  -0.000000   0.000000   40.0000    -0.1197
    2.500   0.728460   0.013262   0.010474   0.023736  -0.000000   0.000000  -0.025314  -0.000000  -0.000000   40.0000    -0.1268
    3.000   0.772352   0.014885   0.010483   0.025368  -0.000000   0.000000  -0.017179  -0.000000  -0.000000   40.0000    -0.1330
    3.500   0.816112   0.016597   0.010478   0.027075  -0.000000   0.000000  -0.009041   0.000000   0.000000   40.0000    -0.1386
    4.000   0.859732   0.018397   0.010452   0.028849  -0.000000  -0.000000  -0.000901  -0.000000  -0.000000   40.0000    -0.1437
    4.500   0.903205   0.020284   0.010456   0.030740  -0.000000  -0.000000   0.007237   0.000000   0.000000   40.0000    -0.1483
    5.000   0.946523   0.022258   0.010472   0.032730  -0.000000  -0.000000   0.015372   0.000000   0.000000   40.0000    -0.1524
    5.500   0.989678   0.024316   0.010496   0.034811  -0.000000   0.000000   0.023501  -0.000000   0.000000   40.0000    -0.1562
    6.000   1.032661   0.026457   0.010535   0.036991  -0.000000   0.000000   0.031621  -0.000000  -0.000000   40.0000    -0.1598
    6.500   1.075466   0.028680   0.010620   0.039300  -0.000000   0.000000   0.039730   0.000000   0.000000   40.0000    -0.1630
    7.000   1.118085   0.030983   0.010814   0.041796  -0.000000   0.000000   0.047825  -0.000000  -0.000000   40.0000    -0.1660
    7.500   1.160509   0.033364   0.011115   0.044479  -0.000000   0.000000   0.055903   0.000000   0.000000   40.0000    -0.1688
    8.000   1.202733   0.035823   0.011462   0.047285  -0.000000   0.000000   0.063962  -0.000000  -0.000000   40.0000    -0.1715


