xflr5 v6.10.03

Wing name :        bennettwing600
Wing polar name :  T1-40.0 m/s-VLM1
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000   0.331137   0.002853   0.020561   0.023414   0.000000  -0.000000  -0.106006  -0.000000   0.000000   40.0000     0.0435
   -1.500   0.376069   0.003638   0.017672   0.021310   0.000000  -0.000000  -0.098811  -0.000000   0.000000   40.0000     0.0151
   -1.000   0.420944   0.004520   0.014186   0.018706   0.000000  -0.000000  -0.091567  -0.000000  -0.000000   40.0000    -0.0073
   -0.500   0.465754   0.005498   0.011722   0.017221   0.000000  -0.000000  -0.084357  -0.000000  -0.000000   40.0000    -0.0253
    0.000   0.510490   0.006572   0.010715   0.017287   0.000000  -0.000000  -0.077196  -0.000000  -0.000000   40.0000    -0.0402
    0.500   0.555144   0.007742   0.010444   0.018186   0.000000  -0.000000  -0.070049  -0.000000  -0.000000   40.0000    -0.0526
    1.000   0.599708   0.009006   0.010424   0.019430   0.000000  -0.000000  -0.062894   0.000000   0.000000   40.0000    -0.0633
    1.500   0.644172   0.010364   0.010428   0.020791   0.000000  -0.000000  -0.055723  -0.000000  -0.000000   40.0000    -0.0724
    2.000   0.688530   0.011814   0.010445   0.022259   0.000000  -0.000000  -0.048539   0.000000   0.000000   40.0000    -0.0804
    2.500   0.732772   0.013357   0.010474   0.023831   0.000000  -0.000000  -0.041344  -0.000000  -0.000000   40.0000    -0.0874
    3.000   0.776890   0.014991   0.010479   0.025470   0.000000  -0.000000  -0.034139   0.000000   0.000000   40.0000    -0.0937
    3.500   0.820877   0.016715   0.010471   0.027186  -0.000000  -0.000000  -0.026928   0.000000   0.000000   40.0000    -0.0992
    4.000   0.864723   0.018528   0.010447   0.028976  -0.000000  -0.000000  -0.019710   0.000000   0.000000   40.0000    -0.1043
    4.500   0.908422   0.020429   0.010454   0.030883   0.000000   0.000000  -0.012490   0.000000   0.000000   40.0000    -0.1088
    5.000   0.951965   0.022417   0.010473   0.032889   0.000000  -0.000000  -0.005269   0.000000   0.000000   40.0000    -0.1129
    5.500   0.995344   0.024489   0.010498   0.034987  -0.000000  -0.000000   0.001950  -0.000000  -0.000000   40.0000    -0.1167
    6.000   1.038551   0.026646   0.010542   0.037187  -0.000000  -0.000000   0.009166   0.000000   0.000000   40.0000    -0.1202
    6.500   1.081579   0.028885   0.010647   0.039532  -0.000000  -0.000000   0.016375   0.000000   0.000000   40.0000    -0.1234
    7.000   1.124419   0.031204   0.010858   0.042062   0.000000  -0.000000   0.023574   0.000000   0.000000   40.0000    -0.1264
    7.500   1.167066   0.033603   0.011169   0.044772   0.000000  -0.000000   0.030763   0.000000   0.000000   40.0000    -0.1292
    8.000   1.209510   0.036080   0.011522   0.047602  -0.000000  -0.000000   0.037938   0.000000   0.000000   40.0000    -0.1318


