xflr5 v6.10.03

Wing name :        bennettwing400
Wing polar name :  T1-20.0 m/s-Panel
Freestream speed :  20.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000   0.412373   0.004181   0.019990   0.024171   0.000000  -0.000000  -0.111156  -0.000000  -0.000000   20.0000     0.0758
   -1.500   0.456768   0.005112   0.017208   0.022320   0.000000  -0.000000  -0.104777  -0.000000  -0.000000   20.0000     0.0558
   -1.000   0.501113   0.006136   0.015110   0.021247   0.000000  -0.000000  -0.098382  -0.000000  -0.000000   20.0000     0.0392
   -0.500   0.545403   0.007253   0.014303   0.021556   0.000000  -0.000000  -0.091992  -0.000000  -0.000000   20.0000     0.0253
    0.000   0.589631   0.008462   0.013938   0.022400   0.000000  -0.000000  -0.085567  -0.000000  -0.000000   20.0000     0.0134
    0.500   0.633793   0.009763   0.013718   0.023481   0.000000  -0.000000  -0.079098  -0.000000  -0.000000   20.0000     0.0032
    1.000   0.677882   0.011154   0.013527   0.024681   0.000000  -0.000000  -0.072582  -0.000000  -0.000000   20.0000    -0.0058
    1.500   0.721892   0.012636   0.013486   0.026122   0.000000  -0.000000  -0.066026  -0.000000  -0.000000   20.0000    -0.0138
    2.000   0.765818   0.014207   0.013330   0.027537   0.000000  -0.000000  -0.059422   0.000000   0.000000   20.0000    -0.0208
    2.500   0.809655   0.015866   0.013148   0.029014   0.000000  -0.000000  -0.052775   0.000000   0.000000   20.0000    -0.0272
    3.000   0.853395   0.017612   0.013026   0.030639   0.000000  -0.000000  -0.046089   0.000000   0.000000   20.0000    -0.0329
    3.500   0.897035   0.019445   0.012912   0.032357   0.000000  -0.000000  -0.039365   0.000000   0.000000   20.0000    -0.0382
    4.000   0.940568   0.021363   0.012807   0.034170   0.000000  -0.000000  -0.032604   0.000000   0.000000   20.0000    -0.0430
    4.500   0.983988   0.023365   0.012751   0.036116   0.000000  -0.000000  -0.025810   0.000000   0.000000   20.0000    -0.0474
    5.000   1.027290   0.025450   0.012725   0.038175   0.000000  -0.000000  -0.018984   0.000000   0.000000   20.0000    -0.0515
    5.500   1.070470   0.027616   0.012740   0.040356   0.000000  -0.000000  -0.012128   0.000000   0.000000   20.0000    -0.0553
    6.000   1.113520   0.029862   0.012784   0.042646   0.000000  -0.000000  -0.005244   0.000000   0.000000   20.0000    -0.0589
    6.500   1.156436   0.032187   0.012885   0.045071   0.000000  -0.000000   0.001664   0.000000   0.000000   20.0000    -0.0622
    7.000   1.199212   0.034589   0.013087   0.047676   0.000000  -0.000000   0.008596   0.000000   0.000000   20.0000    -0.0654
    7.500   1.241843   0.037066   0.013403   0.050469   0.000000  -0.000000   0.015548   0.000000   0.000000   20.0000    -0.0683
    8.000   1.284324   0.039617   0.013793   0.053410   0.000000  -0.000000   0.022520   0.000000   0.000000   20.0000    -0.0711


