xflr5 v6.10.03

Wing name :        bennettwingbase
Wing polar name :  T1-20.0 m/s-VLM1
Freestream speed :  20.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000   0.339570   0.002924   0.023648   0.026572  -0.000000   0.000000  -0.153628   0.000000  -0.000000   20.0000     0.2783
   -1.500   0.385120   0.003722   0.021113   0.024835  -0.000000   0.000000  -0.152653   0.000000  -0.000000   20.0000     0.2506
   -1.000   0.430614   0.004618   0.018380   0.022998   0.000000   0.000000  -0.151637   0.000000   0.000000   20.0000     0.2287
   -0.500   0.476044   0.005612   0.015635   0.021247  -0.000000   0.000000  -0.150588   0.000000  -0.000000   20.0000     0.2110
    0.000   0.521402   0.006703   0.014372   0.021075   0.000000   0.000000  -0.149578  -0.000000  -0.000000   20.0000     0.1964
    0.500   0.566679   0.007890   0.013992   0.021881   0.000000   0.000000  -0.148576  -0.000000  -0.000000   20.0000     0.1842
    1.000   0.611866   0.009173   0.013701   0.022873  -0.000000   0.000000  -0.147546  -0.000000   0.000000   20.0000     0.1738
    1.500   0.656955   0.010551   0.013482   0.024033   0.000000   0.000000  -0.146487   0.000000   0.000000   20.0000     0.1648
    2.000   0.701938   0.012023   0.013374   0.025397   0.000000   0.000000  -0.145403  -0.000000  -0.000000   20.0000     0.1570
    2.500   0.746805   0.013588   0.013279   0.026867  -0.000000  -0.000000  -0.144290   0.000000   0.000000   20.0000     0.1501
    3.000   0.791550   0.015246   0.013065   0.028311  -0.000000   0.000000  -0.143140  -0.000000   0.000000   20.0000     0.1441
    3.500   0.836163   0.016995   0.012935   0.029929   0.000000   0.000000  -0.141965  -0.000000  -0.000000   20.0000     0.1387
    4.000   0.880636   0.018834   0.012812   0.031646   0.000000   0.000000  -0.140761  -0.000000  -0.000000   20.0000     0.1338
    4.500   0.924961   0.020762   0.012700   0.033462   0.000000   0.000000  -0.139528   0.000000   0.000000   20.0000     0.1295
    5.000   0.969131   0.022778   0.012636   0.035414  -0.000000   0.000000  -0.138270  -0.000000  -0.000000   20.0000     0.1255
    5.500   1.013136   0.024881   0.012607   0.037488   0.000000  -0.000000  -0.136984  -0.000000   0.000000   20.0000     0.1219
    6.000   1.056970   0.027069   0.012613   0.039681   0.000000   0.000000  -0.135673   0.000000   0.000000   20.0000     0.1186
    6.500   1.100624   0.029340   0.012655   0.041995  -0.000000   0.000000  -0.134336  -0.000000  -0.000000   20.0000     0.1156
    7.000   1.144090   0.031694   0.012760   0.044454  -0.000000   0.000000  -0.132975  -0.000000  -0.000000   20.0000     0.1128
    7.500   1.187361   0.034129   0.012974   0.047102   0.000000   0.000000  -0.131592  -0.000000  -0.000000   20.0000     0.1102
    8.000   1.230429   0.036642   0.013298   0.049940   0.000000   0.000000  -0.130187   0.000000   0.000000   20.0000     0.1079


