xflr5 v6.10.03

Wing name :        bennettwing200
Wing polar name :  T1-40.0 m/s-Panel
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000   0.415743   0.004219   0.015049   0.019268  -0.000000   0.000000  -0.130338   0.000000   0.000000   40.0000     0.1526
   -1.500   0.460341   0.005157   0.012331   0.017488  -0.000000   0.000000  -0.126074  -0.000000  -0.000000   40.0000     0.1331
   -1.000   0.504888   0.006188   0.011044   0.017232  -0.000000   0.000000  -0.121823  -0.000000  -0.000000   40.0000     0.1170
   -0.500   0.549380   0.007312   0.010665   0.017978  -0.000000   0.000000  -0.117561  -0.000000  -0.000000   40.0000     0.1035
    0.000   0.593810   0.008529   0.010618   0.019147  -0.000000   0.000000  -0.113261  -0.000000  -0.000000   40.0000     0.0919
    0.500   0.638172   0.009838   0.010600   0.020438  -0.000000   0.000000  -0.108911  -0.000000  -0.000000   40.0000     0.0820
    1.000   0.682462   0.011239   0.010588   0.021826  -0.000000   0.000000  -0.104509  -0.000000  -0.000000   40.0000     0.0733
    1.500   0.726672   0.012729   0.010568   0.023297  -0.000000   0.000000  -0.100059  -0.000000  -0.000000   40.0000     0.0656
    2.000   0.770798   0.014310   0.010559   0.024869  -0.000000   0.000000  -0.095562  -0.000000  -0.000000   40.0000     0.0587
    2.500   0.814833   0.015979   0.010541   0.026519  -0.000000   0.000000  -0.091018  -0.000000  -0.000000   40.0000     0.0526
    3.000   0.858772   0.017735   0.010525   0.028260  -0.000000   0.000000  -0.086430  -0.000000  -0.000000   40.0000     0.0471
    3.500   0.902609   0.019579   0.010533   0.030112  -0.000000   0.000000  -0.081800  -0.000000  -0.000000   40.0000     0.0420
    4.000   0.946339   0.021508   0.010556   0.032064  -0.000000   0.000000  -0.077129  -0.000000  -0.000000   40.0000     0.0374
    4.500   0.989956   0.023521   0.010583   0.034104  -0.000000   0.000000  -0.072417  -0.000000  -0.000000   40.0000     0.0332
    5.000   1.033454   0.025617   0.010624   0.036242  -0.000000   0.000000  -0.067666  -0.000000  -0.000000   40.0000     0.0292
    5.500   1.076828   0.027796   0.010728   0.038523  -0.000000   0.000000  -0.062880  -0.000000  -0.000000   40.0000     0.0256
    6.000   1.120073   0.030054   0.010926   0.040980  -0.000000   0.000000  -0.058060  -0.000000  -0.000000   40.0000     0.0222
    6.500   1.163182   0.032392   0.011207   0.043599  -0.000000   0.000000  -0.053209  -0.000000  -0.000000   40.0000     0.0190
    7.000   1.206151   0.034807   0.011530   0.046337  -0.000000   0.000000  -0.048325  -0.000000  -0.000000   40.0000     0.0160
    7.500   1.248974   0.037297   0.011880   0.049177  -0.000000   0.000000  -0.043412  -0.000000  -0.000000   40.0000     0.0132
    8.000   1.291647   0.039862   0.012241   0.052103  -0.000000   0.000000  -0.038469  -0.000000  -0.000000   40.0000     0.0105


