xflr5 v6.10.03

Wing name :        bennettwing700
Wing polar name :  T1-20.0 m/s-VLM1
Freestream speed :  20.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000   0.328879   0.002832   0.024371   0.027203  -0.000000   0.000000  -0.098665   0.000000   0.000000   20.0000     0.0047
   -1.500   0.373583   0.003612   0.021848   0.025459  -0.000000   0.000000  -0.090528  -0.000000  -0.000000   20.0000    -0.0238
   -1.000   0.418229   0.004487   0.019144   0.023631  -0.000000  -0.000000  -0.082367  -0.000000  -0.000000   20.0000    -0.0463
   -0.500   0.462811   0.005459   0.016255   0.021713  -0.000000   0.000000  -0.074182   0.000000   0.000000   20.0000    -0.0644
    0.000   0.507318   0.006525   0.014414   0.020939  -0.000000   0.000000  -0.066029  -0.000000  -0.000000   20.0000    -0.0793
    0.500   0.551744   0.007686   0.013924   0.021610  -0.000000   0.000000  -0.057919   0.000000   0.000000   20.0000    -0.0918
    1.000   0.596079   0.008941   0.013717   0.022658  -0.000000   0.000000  -0.049806  -0.000000  -0.000000   20.0000    -0.1025
    1.500   0.640316   0.010290   0.013587   0.023877  -0.000000   0.000000  -0.041684  -0.000000  -0.000000   20.0000    -0.1117
    2.000   0.684446   0.011730   0.013427   0.025157  -0.000000  -0.000000  -0.033554   0.000000   0.000000   20.0000    -0.1197
    2.500   0.728460   0.013262   0.013401   0.026663  -0.000000   0.000000  -0.025419  -0.000000  -0.000000   20.0000    -0.1268
    3.000   0.772352   0.014885   0.013223   0.028108  -0.000000   0.000000  -0.017276  -0.000000  -0.000000   20.0000    -0.1330
    3.500   0.816112   0.016597   0.013041   0.029638  -0.000000   0.000000  -0.009129   0.000000   0.000000   20.0000    -0.1386
    4.000   0.859732   0.018397   0.012910   0.031307  -0.000000  -0.000000  -0.000983  -0.000000  -0.000000   20.0000    -0.1437
    4.500   0.903205   0.020284   0.012783   0.033068  -0.000000  -0.000000   0.007162   0.000000   0.000000   20.0000    -0.1483
    5.000   0.946523   0.022258   0.012673   0.034931  -0.000000  -0.000000   0.015304   0.000000   0.000000   20.0000    -0.1524
    5.500   0.989678   0.024316   0.012618   0.036934  -0.000000   0.000000   0.023438   0.000000   0.000000   20.0000    -0.1562
    6.000   1.032661   0.026457   0.012610   0.039067  -0.000000   0.000000   0.031563  -0.000000  -0.000000   20.0000    -0.1598
    6.500   1.075466   0.028680   0.012624   0.041304  -0.000000   0.000000   0.039678   0.000000   0.000000   20.0000    -0.1630
    7.000   1.118085   0.030983   0.012680   0.043663  -0.000000   0.000000   0.047779  -0.000000  -0.000000   20.0000    -0.1660
    7.500   1.160509   0.033364   0.012792   0.046157  -0.000000   0.000000   0.055864   0.000000   0.000000   20.0000    -0.1688
    8.000   1.202733   0.035823   0.013005   0.048828  -0.000000   0.000000   0.063932  -0.000000  -0.000000   20.0000    -0.1715


