xflr5 v6.10.03

Wing name :        bennettwing800
Wing polar name :  T1-20.0 m/s-VLM2
Freestream speed :  20.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000   0.323627   0.002698   0.024717   0.027415  -0.000000   0.000000  -0.089508   0.000000   0.000000   20.0000    -0.0355
   -1.500   0.367971   0.003458   0.022153   0.025610  -0.000000   0.000000  -0.080392   0.000000   0.000000   20.0000    -0.0641
   -1.000   0.412264   0.004312   0.019539   0.023851  -0.000000   0.000000  -0.071263   0.000000   0.000000   20.0000    -0.0866
   -0.500   0.456496   0.005262   0.016702   0.021963  -0.000000   0.000000  -0.062110   0.000000   0.000000   20.0000    -0.1048
    0.000   0.500661   0.006305   0.014653   0.020958  -0.000000   0.000000  -0.052980   0.000000   0.000000   20.0000    -0.1197
    0.500   0.544749   0.007442   0.013958   0.021400  -0.000000   0.000000  -0.043894  -0.000000   0.000000   20.0000    -0.1322
    1.000   0.588752   0.008672   0.013754   0.022426  -0.000000   0.000000  -0.034818   0.000000   0.000000   20.0000    -0.1429
    1.500   0.632662   0.009994   0.013596   0.023591  -0.000000   0.000000  -0.025735   0.000000  -0.000000   20.0000    -0.1521
    2.000   0.676470   0.011408   0.013445   0.024853  -0.000000   0.000000  -0.016648   0.000000   0.000000   20.0000    -0.1601
    2.500   0.720169   0.012913   0.013401   0.026313  -0.000000   0.000000  -0.007560   0.000000  -0.000000   20.0000    -0.1672
    3.000   0.763751   0.014507   0.013260   0.027767  -0.000000   0.000000   0.001533   0.000000  -0.000000   20.0000    -0.1734
    3.500   0.807207   0.016190   0.013063   0.029253  -0.000000   0.000000   0.010625   0.000000  -0.000000   20.0000    -0.1790
    4.000   0.850529   0.017961   0.012935   0.030896  -0.000000   0.000000   0.019712   0.000000  -0.000000   20.0000    -0.1841
    4.500   0.893710   0.019819   0.012811   0.032630  -0.000000   0.000000   0.028794   0.000000  -0.000000   20.0000    -0.1887
    5.000   0.936741   0.021762   0.012699   0.034461  -0.000000   0.000000   0.037868   0.000000  -0.000000   20.0000    -0.1928
    5.500   0.979616   0.023789   0.012629   0.036418  -0.000000   0.000000   0.046931  -0.000000  -0.000000   20.0000    -0.1966
    6.000   1.022325   0.025899   0.012614   0.038513  -0.000000   0.000000   0.055978  -0.000000  -0.000000   20.0000    -0.2002
    6.500   1.064862   0.028091   0.012623   0.040714  -0.000000   0.000000   0.065010  -0.000000  -0.000000   20.0000    -0.2034
    7.000   1.107218   0.030363   0.012667   0.043030  -0.000000   0.000000   0.074023  -0.000000   0.000000   20.0000    -0.2064
    7.500   1.149387   0.032714   0.012761   0.045475  -0.000000   0.000000   0.083015  -0.000000  -0.000000   20.0000    -0.2093
    8.000   1.191361   0.035142   0.012944   0.048085  -0.000000   0.000000   0.091983  -0.000000  -0.000000   20.0000    -0.2119


