xflr5 v6.10.03

Wing name :        bennettwing600
Wing polar name :  T1-20.0 m/s-VLM2
Freestream speed :  20.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000   0.328656   0.002743   0.024328   0.027071  -0.000000   0.000000  -0.104771   0.000000   0.000000   20.0000     0.0423
   -1.500   0.373505   0.003516   0.021828   0.025344  -0.000000   0.000000  -0.097564   0.000000   0.000000   20.0000     0.0139
   -1.000   0.418301   0.004386   0.019151   0.023537  -0.000000   0.000000  -0.090332   0.000000   0.000000   20.0000    -0.0085
   -0.500   0.463037   0.005351   0.016303   0.021655  -0.000000   0.000000  -0.083074   0.000000   0.000000   20.0000    -0.0265
    0.000   0.507703   0.006413   0.014501   0.020914  -0.000000   0.000000  -0.075847   0.000000   0.000000   20.0000    -0.0414
    0.500   0.552291   0.007569   0.013957   0.021526  -0.000000   0.000000  -0.068655   0.000000   0.000000   20.0000    -0.0538
    1.000   0.596794   0.008820   0.013722   0.022542  -0.000000   0.000000  -0.061461   0.000000   0.000000   20.0000    -0.0644
    1.500   0.641201   0.010165   0.013562   0.023727  -0.000000   0.000000  -0.054255   0.000000   0.000000   20.0000    -0.0735
    2.000   0.685506   0.011603   0.013403   0.025006  -0.000000   0.000000  -0.047039   0.000000   0.000000   20.0000    -0.0815
    2.500   0.729700   0.013133   0.013379   0.026512  -0.000000   0.000000  -0.039816   0.000000  -0.000000   20.0000    -0.0885
    3.000   0.773775   0.014754   0.013184   0.027937  -0.000000   0.000000  -0.032580   0.000000   0.000000   20.0000    -0.0947
    3.500   0.817722   0.016465   0.013017   0.029482  -0.000000   0.000000  -0.025339   0.000000   0.000000   20.0000    -0.1003
    4.000   0.861534   0.018266   0.012889   0.031155  -0.000000   0.000000  -0.018095   0.000000   0.000000   20.0000    -0.1052
    4.500   0.905202   0.020154   0.012768   0.032923  -0.000000   0.000000  -0.010848   0.000000   0.000000   20.0000    -0.1098
    5.000   0.948719   0.022130   0.012663   0.034793  -0.000000   0.000000  -0.003600  -0.000000  -0.000000   20.0000    -0.1139
    5.500   0.992076   0.024191   0.012615   0.036806  -0.000000   0.000000   0.003644   0.000000  -0.000000   20.0000    -0.1176
    6.000   1.035266   0.026336   0.012610   0.038946  -0.000000   0.000000   0.010884   0.000000   0.000000   20.0000    -0.1211
    6.500   1.078281   0.028565   0.012631   0.041195  -0.000000   0.000000   0.018118   0.000000   0.000000   20.0000    -0.1243
    7.000   1.121113   0.030874   0.012691   0.043565  -0.000000   0.000000   0.025343   0.000000   0.000000   20.0000    -0.1273
    7.500   1.163754   0.033264   0.012820   0.046084  -0.000000   0.000000   0.032557   0.000000   0.000000   20.0000    -0.1300
    8.000   1.206198   0.035732   0.013051   0.048783  -0.000000   0.000000   0.039759  -0.000000  -0.000000   20.0000    -0.1326


