xflr5 v6.10.03

Wing name :        bennettwing600
Wing polar name :  T1-20.0 m/s-Panel
Freestream speed :  20.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000   0.407553   0.004122   0.020288   0.024410  -0.000000  -0.000000  -0.092032  -0.000000   0.000000   20.0000     0.0001
   -1.500   0.451592   0.005041   0.017536   0.022577  -0.000000  -0.000000  -0.083614  -0.000000   0.000000   20.0000    -0.0205
   -1.000   0.495581   0.006052   0.015203   0.021255  -0.000000  -0.000000  -0.075166  -0.000000   0.000000   20.0000    -0.0375
   -0.500   0.539516   0.007155   0.014325   0.021479  -0.000000  -0.000000  -0.066733   0.000000   0.000000   20.0000    -0.0518
    0.000   0.583391   0.008349   0.013962   0.022311  -0.000000  -0.000000  -0.058268   0.000000   0.000000   20.0000    -0.0640
    0.500   0.627199   0.009633   0.013731   0.023364  -0.000000  -0.000000  -0.049759   0.000000   0.000000   20.0000    -0.0746
    1.000   0.670935   0.011008   0.013574   0.024581  -0.000000  -0.000000  -0.041207   0.000000   0.000000   20.0000    -0.0839
    1.500   0.714594   0.012471   0.013502   0.025973  -0.000000  -0.000000  -0.032615   0.000000   0.000000   20.0000    -0.0921
    2.000   0.758169   0.014023   0.013392   0.027415  -0.000000  -0.000000  -0.023981   0.000000   0.000000   20.0000    -0.0994
    2.500   0.801656   0.015663   0.013189   0.028851  -0.000000  -0.000000  -0.015305   0.000000   0.000000   20.0000    -0.1060
    3.000   0.845047   0.017388   0.013067   0.030455  -0.000000  -0.000000  -0.006595   0.000000   0.000000   20.0000    -0.1119
    3.500   0.888339   0.019199   0.012949   0.032148  -0.000000  -0.000000   0.002148   0.000000   0.000000   20.0000    -0.1174
    4.000   0.931525   0.021095   0.012840   0.033935  -0.000000  -0.000000   0.010923   0.000000   0.000000   20.0000    -0.1224
    4.500   0.974600   0.023073   0.012762   0.035835  -0.000000  -0.000000   0.019727   0.000000   0.000000   20.0000    -0.1270
    5.000   1.017558   0.025133   0.012729   0.037862  -0.000000  -0.000000   0.028556   0.000000   0.000000   20.0000    -0.1312
    5.500   1.060394   0.027274   0.012736   0.040011  -0.000000  -0.000000   0.037407   0.000000   0.000000   20.0000    -0.1352
    6.000   1.103102   0.029495   0.012771   0.042265  -0.000000  -0.000000   0.046280   0.000000   0.000000   20.0000    -0.1389
    6.500   1.145678   0.031792   0.012848   0.044641  -0.000000  -0.000000   0.055171   0.000000   0.000000   20.0000    -0.1424
    7.000   1.188115   0.034167   0.013012   0.047179  -0.000000  -0.000000   0.064077   0.000000   0.000000   20.0000    -0.1457
    7.500   1.230409   0.036616   0.013285   0.049901  -0.000000  -0.000000   0.072996   0.000000   0.000000   20.0000    -0.1488
    8.000   1.272554   0.039138   0.013655   0.052793  -0.000000  -0.000000   0.081926   0.000000   0.000000   20.0000    -0.1517


