xflr5 v6.10.03

Wing name :        bennettwing200
Wing polar name :  T1-20.0 m/s-VLM2
Freestream speed :  20.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000   0.335824   0.002799   0.023849   0.026648  -0.000000  -0.000000  -0.136506  -0.000000   0.000000   20.0000     0.1993
   -1.500   0.381254   0.003588   0.021345   0.024933  -0.000000  -0.000000  -0.133388  -0.000000   0.000000   20.0000     0.1713
   -1.000   0.426631   0.004474   0.018632   0.023106  -0.000000  -0.000000  -0.130232  -0.000000   0.000000   20.0000     0.1492
   -0.500   0.471945   0.005458   0.015859   0.021317  -0.000000  -0.000000  -0.127047  -0.000000   0.000000   20.0000     0.1314
    0.000   0.517189   0.006539   0.014432   0.020971  -0.000000  -0.000000  -0.123898   0.000000   0.000000   20.0000     0.1168
    0.500   0.562354   0.007717   0.013995   0.021711  -0.000000  -0.000000  -0.120766   0.000000   0.000000   20.0000     0.1044
    1.000   0.607431   0.008990   0.013705   0.022695  -0.000000  -0.000000  -0.117613  -0.000000  -0.000000   20.0000     0.0940
    1.500   0.652412   0.010359   0.013499   0.023858  -0.000000  -0.000000  -0.114438  -0.000000  -0.000000   20.0000     0.0850
    2.000   0.697289   0.011822   0.013373   0.025196  -0.000000  -0.000000  -0.111243   0.000000  -0.000000   20.0000     0.0771
    2.500   0.742053   0.013379   0.013299   0.026678  -0.000000  -0.000000  -0.108027  -0.000000  -0.000000   20.0000     0.0702
    3.000   0.786696   0.015028   0.013081   0.028109  -0.000000  -0.000000  -0.104782  -0.000000  -0.000000   20.0000     0.0641
    3.500   0.831209   0.016769   0.012951   0.029720  -0.000000  -0.000000  -0.101519  -0.000000  -0.000000   20.0000     0.0587
    4.000   0.875585   0.018600   0.012826   0.031426  -0.000000  -0.000000  -0.098235  -0.000000  -0.000000   20.0000     0.0538
    4.500   0.919814   0.020521   0.012714   0.033235  -0.000000  -0.000000  -0.094933  -0.000000  -0.000000   20.0000     0.0494
    5.000   0.963890   0.022530   0.012640   0.035170  -0.000000  -0.000000  -0.091613  -0.000000  -0.000000   20.0000     0.0453
    5.500   1.007804   0.024626   0.012608   0.037234  -0.000000  -0.000000  -0.088276  -0.000000  -0.000000   20.0000     0.0417
    6.000   1.051548   0.026807   0.012611   0.039419  -0.000000  -0.000000  -0.084924  -0.000000  -0.000000   20.0000     0.0384
    6.500   1.095114   0.029073   0.012649   0.041722  -0.000000  -0.000000  -0.081557  -0.000000  -0.000000   20.0000     0.0353
    7.000   1.138495   0.031421   0.012738   0.044159  -0.000000  -0.000000  -0.078177  -0.000000  -0.000000   20.0000     0.0324
    7.500   1.181682   0.033850   0.012932   0.046783  -0.000000  -0.000000  -0.074787  -0.000000  -0.000000   20.0000     0.0298
    8.000   1.224669   0.036359   0.013239   0.049598  -0.000000  -0.000000  -0.071386   0.000000  -0.000000   20.0000     0.0274


