xflr5 v6.10.03

Wing name :        bennettwing400
Wing polar name :  T1-20.0 m/s-VLM1
Freestream speed :  20.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000   0.335083   0.002890   0.023932   0.026823  -0.000000  -0.000000  -0.121845   0.000000   0.000000   20.0000     0.1211
   -1.500   0.380374   0.003684   0.021427   0.025111  -0.000000   0.000000  -0.116667   0.000000   0.000000   20.0000     0.0929
   -1.000   0.425610   0.004576   0.018674   0.023250  -0.000000   0.000000  -0.111454   0.000000  -0.000000   20.0000     0.0707
   -0.500   0.470780   0.005565   0.015836   0.021400  -0.000000   0.000000  -0.106215  -0.000000   0.000000   20.0000     0.0528
    0.000   0.515877   0.006651   0.014327   0.020978  -0.000000   0.000000  -0.101015   0.000000   0.000000   20.0000     0.0381
    0.500   0.560892   0.007833   0.013932   0.021765  -0.000000  -0.000000  -0.095841  -0.000000   0.000000   20.0000     0.0257
    1.000   0.605816   0.009111   0.013688   0.022798  -0.000000  -0.000000  -0.090651  -0.000000  -0.000000   20.0000     0.0151
    1.500   0.650641   0.010483   0.013532   0.024015  -0.000000  -0.000000  -0.085445   0.000000   0.000000   20.0000     0.0060
    2.000   0.695359   0.011949   0.013399   0.025349  -0.000000   0.000000  -0.080222  -0.000000  -0.000000   20.0000    -0.0019
    2.500   0.739961   0.013509   0.013348   0.026857  -0.000000  -0.000000  -0.074985   0.000000   0.000000   20.0000    -0.0088
    3.000   0.784439   0.015161   0.013124   0.028284  -0.000000  -0.000000  -0.069726   0.000000   0.000000   20.0000    -0.0150
    3.500   0.828785   0.016903   0.012982   0.029885  -0.000000  -0.000000  -0.064456  -0.000000  -0.000000   20.0000    -0.0205
    4.000   0.872990   0.018736   0.012853   0.031589  -0.000000   0.000000  -0.059174  -0.000000  -0.000000   20.0000    -0.0255
    4.500   0.917047   0.020657   0.012733   0.033390  -0.000000   0.000000  -0.053880  -0.000000  -0.000000   20.0000    -0.0300
    5.000   0.960947   0.022666   0.012644   0.035310  -0.000000   0.000000  -0.048578  -0.000000  -0.000000   20.0000    -0.0340
    5.500   1.004682   0.024761   0.012605   0.037366  -0.000000  -0.000000  -0.043268  -0.000000  -0.000000   20.0000    -0.0378
    6.000   1.048245   0.026941   0.012606   0.039547  -0.000000   0.000000  -0.037954  -0.000000  -0.000000   20.0000    -0.0412
    6.500   1.091628   0.029204   0.012637   0.041841  -0.000000   0.000000  -0.032635  -0.000000  -0.000000   20.0000    -0.0443
    7.000   1.134823   0.031549   0.012716   0.044265  -0.000000   0.000000  -0.027313   0.000000   0.000000   20.0000    -0.0472
    7.500   1.177822   0.033974   0.012884   0.046858  -0.000000  -0.000000  -0.021991   0.000000   0.000000   20.0000    -0.0499
    8.000   1.220617   0.036478   0.013164   0.049642  -0.000000   0.000000  -0.016671  -0.000000  -0.000000   20.0000    -0.0525


