xflr5 v6.10.03

Wing name :        bennettwingbase
Wing polar name :  T1-40.0 m/s-VLM2
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000   0.337721   0.002808   0.020230   0.023038   0.000000  -0.000000  -0.152460  -0.000000  -0.000000   40.0000     0.2781
   -1.500   0.383208   0.003597   0.017141   0.020738   0.000000  -0.000000  -0.151454  -0.000000  -0.000000   40.0000     0.2503
   -1.000   0.428642   0.004484   0.013638   0.018123   0.000000  -0.000000  -0.150397  -0.000000  -0.000000   40.0000     0.2284
   -0.500   0.474014   0.005469   0.011487   0.016955   0.000000  -0.000000  -0.149373  -0.000000   0.000000   40.0000     0.2107
    0.000   0.519315   0.006550   0.010697   0.017247   0.000000  -0.000000  -0.148380   0.000000   0.000000   40.0000     0.1961
    0.500   0.564537   0.007728   0.010520   0.018248   0.000000  -0.000000  -0.147384   0.000000   0.000000   40.0000     0.1838
    1.000   0.609672   0.009002   0.010501   0.019503   0.000000  -0.000000  -0.146364   0.000000   0.000000   40.0000     0.1734
    1.500   0.654710   0.010371   0.010492   0.020863   0.000000  -0.000000  -0.145313   0.000000   0.000000   40.0000     0.1644
    2.000   0.699643   0.011834   0.010490   0.022323   0.000000  -0.000000  -0.144232   0.000000   0.000000   40.0000     0.1566
    2.500   0.744464   0.013390   0.010474   0.023864   0.000000  -0.000000  -0.143119   0.000000   0.000000   40.0000     0.1498
    3.000   0.789163   0.015039   0.010455   0.025494   0.000000  -0.000000  -0.141976   0.000000   0.000000   40.0000     0.1437
    3.500   0.833733   0.016779   0.010430   0.027209   0.000000  -0.000000  -0.140804   0.000000   0.000000   40.0000     0.1383
    4.000   0.878165   0.018610   0.010431   0.029041   0.000000  -0.000000  -0.139604   0.000000   0.000000   40.0000     0.1335
    4.500   0.922451   0.020529   0.010450   0.030979   0.000000  -0.000000  -0.138376   0.000000   0.000000   40.0000     0.1291
    5.000   0.966583   0.022537   0.010474   0.033012   0.000000  -0.000000  -0.137120   0.000000   0.000000   40.0000     0.1252
    5.500   1.010554   0.024632   0.010509   0.035141   0.000000  -0.000000  -0.135836   0.000000   0.000000   40.0000     0.1216
    6.000   1.054354   0.026812   0.010589   0.037401   0.000000  -0.000000  -0.134526   0.000000   0.000000   40.0000     0.1183
    6.500   1.097976   0.029076   0.010768   0.039844   0.000000  -0.000000  -0.133193   0.000000   0.000000   40.0000     0.1153
    7.000   1.141412   0.031422   0.011032   0.042454   0.000000  -0.000000  -0.131836   0.000000   0.000000   40.0000     0.1125
    7.500   1.184656   0.033850   0.011344   0.045193   0.000000  -0.000000  -0.130455   0.000000   0.000000   40.0000     0.1099
    8.000   1.227698   0.036357   0.011688   0.048045   0.000000  -0.000000  -0.129051   0.000000   0.000000   40.0000     0.1076


