xflr5 v6.10.03

Wing name :        bennettwing700
Wing polar name :  T1-20.0 m/s-VLM2
Freestream speed :  20.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000   0.326307   0.002723   0.024506   0.027229   0.000000  -0.000000  -0.097161  -0.000000  -0.000000   20.0000     0.0033
   -1.500   0.370924   0.003490   0.021981   0.025471   0.000000  -0.000000  -0.088997  -0.000000  -0.000000   20.0000    -0.0253
   -1.000   0.415489   0.004352   0.019331   0.023683   0.000000  -0.000000  -0.080811  -0.000000  -0.000000   20.0000    -0.0477
   -0.500   0.459993   0.005311   0.016477   0.021788   0.000000  -0.000000  -0.072601  -0.000000  -0.000000   20.0000    -0.0658
    0.000   0.504429   0.006364   0.014563   0.020926   0.000000  -0.000000  -0.064418  -0.000000  -0.000000   20.0000    -0.0807
    0.500   0.548787   0.007511   0.013955   0.021467   0.000000  -0.000000  -0.056276  -0.000000   0.000000   20.0000    -0.0932
    1.000   0.593060   0.008753   0.013737   0.022489   0.000000  -0.000000  -0.048136  -0.000000   0.000000   20.0000    -0.1038
    1.500   0.637239   0.010087   0.013582   0.023669   0.000000  -0.000000  -0.039988  -0.000000   0.000000   20.0000    -0.1130
    2.000   0.681316   0.011514   0.013418   0.024932   0.000000  -0.000000  -0.031831  -0.000000   0.000000   20.0000    -0.1209
    2.500   0.725283   0.013033   0.013390   0.026423   0.000000  -0.000000  -0.023672   0.000000   0.000000   20.0000    -0.1280
    3.000   0.769131   0.014642   0.013220   0.027862   0.000000  -0.000000  -0.015503  -0.000000   0.000000   20.0000    -0.1342
    3.500   0.812852   0.016340   0.013039   0.029379   0.000000  -0.000000  -0.007332  -0.000000   0.000000   20.0000    -0.1398
    4.000   0.856439   0.018127   0.012910   0.031038   0.000000  -0.000000   0.000838  -0.000000   0.000000   20.0000    -0.1448
    4.500   0.899883   0.020002   0.012787   0.032789   0.000000  -0.000000   0.009007  -0.000000   0.000000   20.0000    -0.1493
    5.000   0.943177   0.021963   0.012678   0.034641   0.000000  -0.000000   0.017172   0.000000   0.000000   20.0000    -0.1535
    5.500   0.986312   0.024009   0.012621   0.036629   0.000000  -0.000000   0.025330   0.000000   0.000000   20.0000    -0.1573
    6.000   1.029281   0.026138   0.012611   0.038750   0.000000  -0.000000   0.033478   0.000000   0.000000   20.0000    -0.1608
    6.500   1.072076   0.028350   0.012627   0.040976   0.000000  -0.000000   0.041616   0.000000   0.000000   20.0000    -0.1640
    7.000   1.114690   0.030642   0.012679   0.043321   0.000000  -0.000000   0.049739   0.000000   0.000000   20.0000    -0.1670
    7.500   1.157114   0.033014   0.012789   0.045804   0.000000  -0.000000   0.057847   0.000000   0.000000   20.0000    -0.1698
    8.000   1.199341   0.035464   0.012996   0.048460   0.000000  -0.000000   0.065936   0.000000   0.000000   20.0000    -0.1724


