xflr5 v6.10.03

Wing name :        bennettwing700
Wing polar name :  T1-40.0 m/s-Panel
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000   0.404776   0.004089   0.015947   0.020036  -0.000000   0.000000  -0.082667   0.000000   0.000000   40.0000    -0.0376
   -1.500   0.448590   0.005000   0.012902   0.017902  -0.000000   0.000000  -0.073271   0.000000   0.000000   40.0000    -0.0585
   -1.000   0.492354   0.006003   0.011169   0.017172  -0.000000   0.000000  -0.063891   0.000000   0.000000   40.0000    -0.0758
   -0.500   0.536065   0.007097   0.010695   0.017791  -0.000000   0.000000  -0.054517   0.000000  -0.000000   40.0000    -0.0903
    0.000   0.579715   0.008281   0.010570   0.018851  -0.000000   0.000000  -0.045107  -0.000000  -0.000000   40.0000    -0.1027
    0.500   0.623300   0.009556   0.010546   0.020102  -0.000000   0.000000  -0.035651  -0.000000  -0.000000   40.0000    -0.1135
    1.000   0.666813   0.010920   0.010547   0.021467  -0.000000   0.000000  -0.026147  -0.000000  -0.000000   40.0000    -0.1229
    1.500   0.710249   0.012372   0.010561   0.022933  -0.000000   0.000000  -0.016601  -0.000000  -0.000000   40.0000    -0.1312
    2.000   0.753602   0.013912   0.010576   0.024488  -0.000000   0.000000  -0.007015  -0.000000  -0.000000   40.0000    -0.1386
    2.500   0.796867   0.015539   0.010569   0.026108  -0.000000   0.000000   0.002610  -0.000000  -0.000000   40.0000    -0.1453
    3.000   0.840039   0.017251   0.010556   0.027807  -0.000000   0.000000   0.012269  -0.000000  -0.000000   40.0000    -0.1514
    3.500   0.883110   0.019049   0.010544   0.029592  -0.000000   0.000000   0.021961  -0.000000  -0.000000   40.0000    -0.1569
    4.000   0.926077   0.020929   0.010556   0.031486  -0.000000   0.000000   0.031681  -0.000000  -0.000000   40.0000    -0.1620
    4.500   0.968933   0.022893   0.010578   0.033471  -0.000000   0.000000   0.041427  -0.000000  -0.000000   40.0000    -0.1667
    5.000   1.011673   0.024938   0.010606   0.035543  -0.000000   0.000000   0.051196  -0.000000  -0.000000   40.0000    -0.1710
    5.500   1.054292   0.027062   0.010653   0.037716  -0.000000   0.000000   0.060986  -0.000000  -0.000000   40.0000    -0.1751
    6.000   1.096784   0.029266   0.010777   0.040043  -0.000000   0.000000   0.070792  -0.000000  -0.000000   40.0000    -0.1789
    6.500   1.139143   0.031547   0.010998   0.042545  -0.000000   0.000000   0.080611  -0.000000  -0.000000   40.0000    -0.1824
    7.000   1.181366   0.033903   0.011309   0.045212  -0.000000   0.000000   0.090441  -0.000000  -0.000000   40.0000    -0.1858
    7.500   1.223446   0.036334   0.011662   0.047995  -0.000000   0.000000   0.100280  -0.000000  -0.000000   40.0000    -0.1890
    8.000   1.265378   0.038837   0.012038   0.050875  -0.000000   0.000000   0.110123  -0.000000  -0.000000   40.0000    -0.1920


