xflr5 v6.10.03

Wing name :        bennettwing600
Wing polar name :  T1-40.0 m/s-VLM2
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000   0.328656   0.002743   0.020697   0.023440  -0.000000   0.000000  -0.104580   0.000000   0.000000   40.0000     0.0423
   -1.500   0.373505   0.003516   0.017864   0.021380  -0.000000   0.000000  -0.097364   0.000000   0.000000   40.0000     0.0139
   -1.000   0.418301   0.004386   0.014405   0.018791  -0.000000   0.000000  -0.090098   0.000000   0.000000   40.0000    -0.0085
   -0.500   0.463037   0.005351   0.011882   0.017233  -0.000000   0.000000  -0.082862   0.000000   0.000000   40.0000    -0.0265
    0.000   0.507703   0.006413   0.010771   0.017184  -0.000000   0.000000  -0.075674   0.000000   0.000000   40.0000    -0.0414
    0.500   0.552291   0.007569   0.010468   0.018038  -0.000000   0.000000  -0.068502   0.000000   0.000000   40.0000    -0.0538
    1.000   0.596794   0.008820   0.010442   0.019262  -0.000000   0.000000  -0.061325   0.000000   0.000000   40.0000    -0.0644
    1.500   0.641201   0.010165   0.010437   0.020602  -0.000000   0.000000  -0.054131   0.000000   0.000000   40.0000    -0.0735
    2.000   0.685506   0.011603   0.010450   0.022053  -0.000000   0.000000  -0.046924   0.000000   0.000000   40.0000    -0.0815
    2.500   0.729700   0.013133   0.010472   0.023605  -0.000000   0.000000  -0.039707   0.000000  -0.000000   40.0000    -0.0885
    3.000   0.773775   0.014754   0.010473   0.025227  -0.000000   0.000000  -0.032481   0.000000   0.000000   40.0000    -0.0947
    3.500   0.817722   0.016465   0.010466   0.026932  -0.000000   0.000000  -0.025247   0.000000   0.000000   40.0000    -0.1003
    4.000   0.861534   0.018266   0.010443   0.028709  -0.000000   0.000000  -0.018009   0.000000   0.000000   40.0000    -0.1052
    4.500   0.905202   0.020154   0.010451   0.030605  -0.000000   0.000000  -0.010768   0.000000   0.000000   40.0000    -0.1098
    5.000   0.948719   0.022130   0.010471   0.032601  -0.000000   0.000000  -0.003527  -0.000000  -0.000000   40.0000    -0.1139
    5.500   0.992076   0.024191   0.010496   0.034687  -0.000000   0.000000   0.003712  -0.000000  -0.000000   40.0000    -0.1176
    6.000   1.035266   0.026336   0.010538   0.036875  -0.000000   0.000000   0.010947   0.000000   0.000000   40.0000    -0.1211
    6.500   1.078281   0.028565   0.010640   0.039205  -0.000000   0.000000   0.018176   0.000000   0.000000   40.0000    -0.1243
    7.000   1.121113   0.030874   0.010847   0.041721  -0.000000   0.000000   0.025395   0.000000   0.000000   40.0000    -0.1273
    7.500   1.163754   0.033264   0.011152   0.044416  -0.000000   0.000000   0.032602  -0.000000   0.000000   40.0000    -0.1300
    8.000   1.206198   0.035732   0.011497   0.047229  -0.000000   0.000000   0.039797  -0.000000  -0.000000   40.0000    -0.1326


