xflr5 v6.10.03

Wing name :        bennettwing800
Wing polar name :  T1-20.0 m/s-Panel
Freestream speed :  20.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000   0.401568   0.004049   0.020636   0.024685  -0.000000   0.000000  -0.073772   0.000000   0.000000   20.0000    -0.0751
   -1.500   0.445114   0.004951   0.017955   0.022906  -0.000000   0.000000  -0.063433   0.000000   0.000000   20.0000    -0.0963
   -1.000   0.488613   0.005945   0.015402   0.021346  -0.000000   0.000000  -0.053051   0.000000   0.000000   20.0000    -0.1138
   -0.500   0.532057   0.007028   0.014371   0.021399  -0.000000  -0.000000  -0.042690   0.000000   0.000000   20.0000    -0.1285
    0.000   0.575442   0.008201   0.014011   0.022212  -0.000000  -0.000000  -0.032306   0.000000   0.000000   20.0000    -0.1411
    0.500   0.618762   0.009464   0.013756   0.023220  -0.000000  -0.000000  -0.021877   0.000000   0.000000   20.0000    -0.1520
    1.000   0.662011   0.010814   0.013629   0.024444  -0.000000  -0.000000  -0.011411   0.000000   0.000000   20.0000    -0.1616
    1.500   0.705183   0.012253   0.013518   0.025771  -0.000000  -0.000000  -0.000906   0.000000   0.000000   20.0000    -0.1701
    2.000   0.748273   0.013779   0.013465   0.027244  -0.000000  -0.000000   0.009635   0.000000   0.000000   20.0000    -0.1776
    2.500   0.791276   0.015390   0.013251   0.028641  -0.000000  -0.000000   0.020214   0.000000   0.000000   20.0000    -0.1844
    3.000   0.834185   0.017087   0.013118   0.030204  -0.000000  -0.000000   0.030823   0.000000   0.000000   20.0000    -0.1906
    3.500   0.876996   0.018867   0.012996   0.031863  -0.000000  -0.000000   0.041460   0.000000   0.000000   20.0000    -0.1962
    4.000   0.919702   0.020731   0.012883   0.033613  -0.000000  -0.000000   0.052123   0.000000   0.000000   20.0000    -0.2014
    4.500   0.962299   0.022676   0.012783   0.035459  -0.000000  -0.000000   0.062809   0.000000   0.000000   20.0000    -0.2061
    5.000   1.004781   0.024702   0.012740   0.037442  -0.000000  -0.000000   0.073514   0.000000   0.000000   20.0000    -0.2106
    5.500   1.047142   0.026807   0.012740   0.039546  -0.000000  -0.000000   0.084234   0.000000   0.000000   20.0000    -0.2147
    6.000   1.089378   0.028990   0.012762   0.041752  -0.000000  -0.000000   0.094968   0.000000   0.000000   20.0000    -0.2185
    6.500   1.131482   0.031250   0.012821   0.044070  -0.000000  -0.000000   0.105712   0.000000   0.000000   20.0000    -0.2222
    7.000   1.173450   0.033584   0.012939   0.046524  -0.000000  -0.000000   0.116463   0.000000   0.000000   20.0000    -0.2256
    7.500   1.215277   0.035993   0.013152   0.049144  -0.000000  -0.000000   0.127218   0.000000   0.000000   20.0000    -0.2288
    8.000   1.256957   0.038473   0.013487   0.051960  -0.000000  -0.000000   0.137975   0.000000   0.000000   20.0000    -0.2319


