xflr5 v6.10.03

Wing name :        bennettwing800
Wing polar name :  T1-40.0 m/s-VLM2
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000   0.323627   0.002698   0.020962   0.023661  -0.000000   0.000000  -0.089301   0.000000   0.000000   40.0000    -0.0355
   -1.500   0.367971   0.003458   0.018266   0.021724  -0.000000   0.000000  -0.080191   0.000000   0.000000   40.0000    -0.0641
   -1.000   0.412264   0.004312   0.014904   0.019217  -0.000000   0.000000  -0.071030   0.000000   0.000000   40.0000    -0.0866
   -0.500   0.456496   0.005262   0.012169   0.017430  -0.000000   0.000000  -0.061890   0.000000   0.000000   40.0000    -0.1048
    0.000   0.500661   0.006305   0.010852   0.017157  -0.000000   0.000000  -0.052804   0.000000   0.000000   40.0000    -0.1197
    0.500   0.544749   0.007442   0.010474   0.017916  -0.000000   0.000000  -0.043745  -0.000000   0.000000   40.0000    -0.1322
    1.000   0.588752   0.008672   0.010423   0.019095  -0.000000   0.000000  -0.034686  -0.000000   0.000000   40.0000    -0.1429
    1.500   0.632662   0.009994   0.010420   0.020415  -0.000000   0.000000  -0.025616  -0.000000  -0.000000   40.0000    -0.1521
    2.000   0.676470   0.011408   0.010434   0.021843  -0.000000   0.000000  -0.016539  -0.000000   0.000000   40.0000    -0.1601
    2.500   0.720169   0.012913   0.010471   0.023384  -0.000000   0.000000  -0.007459  -0.000000  -0.000000   40.0000    -0.1672
    3.000   0.763751   0.014507   0.010480   0.024987  -0.000000   0.000000   0.001625  -0.000000  -0.000000   40.0000    -0.1734
    3.500   0.807207   0.016190   0.010481   0.026671  -0.000000   0.000000   0.010708   0.000000  -0.000000   40.0000    -0.1790
    4.000   0.850529   0.017961   0.010457   0.028418  -0.000000   0.000000   0.019789  -0.000000  -0.000000   40.0000    -0.1841
    4.500   0.893710   0.019819   0.010455   0.030274  -0.000000   0.000000   0.028865  -0.000000  -0.000000   40.0000    -0.1887
    5.000   0.936741   0.021762   0.010469   0.032231  -0.000000   0.000000   0.037932  -0.000000  -0.000000   40.0000    -0.1928
    5.500   0.979616   0.023789   0.010491   0.034281  -0.000000   0.000000   0.046988  -0.000000  -0.000000   40.0000    -0.1966
    6.000   1.022325   0.025899   0.010525   0.036425  -0.000000   0.000000   0.056031  -0.000000  -0.000000   40.0000    -0.2002
    6.500   1.064862   0.028091   0.010588   0.038679  -0.000000   0.000000   0.065057  -0.000000  -0.000000   40.0000    -0.2034
    7.000   1.107218   0.030363   0.010760   0.041123  -0.000000   0.000000   0.074063  -0.000000   0.000000   40.0000    -0.2064
    7.500   1.149387   0.032714   0.011034   0.043748  -0.000000   0.000000   0.083048  -0.000000  -0.000000   40.0000    -0.2093
    8.000   1.191361   0.035142   0.011367   0.046509  -0.000000   0.000000   0.092008  -0.000000  -0.000000   40.0000    -0.2119


