xflr5 v6.10.03

Wing name :        bennettwing400
Wing polar name :  T1-40.0 m/s-VLM1
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000   0.335083   0.002890   0.020354   0.023244  -0.000000  -0.000000  -0.121667  -0.000000   0.000000   40.0000     0.1211
   -1.500   0.380374   0.003684   0.017346   0.021030  -0.000000   0.000000  -0.116467   0.000000   0.000000   40.0000     0.0929
   -1.000   0.425610   0.004576   0.013803   0.018379  -0.000000   0.000000  -0.111219  -0.000000  -0.000000   40.0000     0.0707
   -0.500   0.470780   0.005565   0.011521   0.017086  -0.000000   0.000000  -0.106011  -0.000000   0.000000   40.0000     0.0528
    0.000   0.515877   0.006651   0.010676   0.017327  -0.000000   0.000000  -0.100846  -0.000000   0.000000   40.0000     0.0381
    0.500   0.560892   0.007833   0.010455   0.018288  -0.000000  -0.000000  -0.095685  -0.000000   0.000000   40.0000     0.0257
    1.000   0.605816   0.009111   0.010440   0.019551  -0.000000  -0.000000  -0.090510  -0.000000  -0.000000   40.0000     0.0151
    1.500   0.650641   0.010483   0.010446   0.020929  -0.000000  -0.000000  -0.085315   0.000000   0.000000   40.0000     0.0060
    2.000   0.695359   0.011949   0.010460   0.022410  -0.000000   0.000000  -0.080100  -0.000000  -0.000000   40.0000    -0.0019
    2.500   0.739961   0.013509   0.010475   0.023984  -0.000000  -0.000000  -0.074868   0.000000   0.000000   40.0000    -0.0088
    3.000   0.784439   0.015161   0.010472   0.025633  -0.000000  -0.000000  -0.069619   0.000000   0.000000   40.0000    -0.0150
    3.500   0.828785   0.016903   0.010458   0.027361  -0.000000  -0.000000  -0.064356  -0.000000  -0.000000   40.0000    -0.0205
    4.000   0.872990   0.018736   0.010442   0.029177  -0.000000   0.000000  -0.059080  -0.000000  -0.000000   40.0000    -0.0255
    4.500   0.917047   0.020657   0.010453   0.031110  -0.000000   0.000000  -0.053793  -0.000000  -0.000000   40.0000    -0.0300
    5.000   0.960947   0.022666   0.010474   0.033140  -0.000000   0.000000  -0.048496  -0.000000  -0.000000   40.0000    -0.0340
    5.500   1.004682   0.024761   0.010503   0.035264  -0.000000  -0.000000  -0.043191  -0.000000  -0.000000   40.0000    -0.0378
    6.000   1.048245   0.026941   0.010555   0.037496  -0.000000   0.000000  -0.037880  -0.000000  -0.000000   40.0000    -0.0412
    6.500   1.091628   0.029204   0.010700   0.039904  -0.000000   0.000000  -0.032566  -0.000000  -0.000000   40.0000    -0.0443
    7.000   1.134823   0.031549   0.010943   0.042492  -0.000000   0.000000  -0.027250   0.000000   0.000000   40.0000    -0.0472
    7.500   1.177822   0.033974   0.011263   0.045237  -0.000000  -0.000000  -0.021935   0.000000   0.000000   40.0000    -0.0499
    8.000   1.220617   0.036478   0.011619   0.048097  -0.000000   0.000000  -0.016620  -0.000000  -0.000000   40.0000    -0.0525


