xflr5 v6.10.03

Wing name :        bennettwingbase
Wing polar name :  T1-40.0 m/s-VLM1
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000   0.339570   0.002924   0.020126   0.023050  -0.000000   0.000000  -0.153468   0.000000  -0.000000   40.0000     0.2783
   -1.500   0.385120   0.003722   0.016990   0.020712  -0.000000   0.000000  -0.152464   0.000000  -0.000000   40.0000     0.2506
   -1.000   0.430614   0.004618   0.013474   0.018092   0.000000   0.000000  -0.151410   0.000000   0.000000   40.0000     0.2287
   -0.500   0.476044   0.005612   0.011364   0.016976  -0.000000   0.000000  -0.150391   0.000000  -0.000000   40.0000     0.2110
    0.000   0.521402   0.006703   0.010663   0.017366   0.000000   0.000000  -0.149406   0.000000  -0.000000   40.0000     0.1964
    0.500   0.566679   0.007890   0.010500   0.018390   0.000000   0.000000  -0.148413  -0.000000  -0.000000   40.0000     0.1842
    1.000   0.611866   0.009173   0.010486   0.019659  -0.000000   0.000000  -0.147396  -0.000000   0.000000   40.0000     0.1738
    1.500   0.656955   0.010551   0.010483   0.021034   0.000000   0.000000  -0.146348   0.000000   0.000000   40.0000     0.1648
    2.000   0.701938   0.012023   0.010483   0.022505   0.000000   0.000000  -0.145269  -0.000000  -0.000000   40.0000     0.1570
    2.500   0.746805   0.013588   0.010475   0.024063  -0.000000  -0.000000  -0.144159   0.000000   0.000000   40.0000     0.1501
    3.000   0.791550   0.015246   0.010461   0.025706  -0.000000   0.000000  -0.143019   0.000000   0.000000   40.0000     0.1441
    3.500   0.836163   0.016995   0.010434   0.027429   0.000000   0.000000  -0.141849  -0.000000  -0.000000   40.0000     0.1387
    4.000   0.880636   0.018834   0.010435   0.029269   0.000000   0.000000  -0.140651  -0.000000  -0.000000   40.0000     0.1338
    4.500   0.924961   0.020762   0.010453   0.031215   0.000000   0.000000  -0.139424  -0.000000   0.000000   40.0000     0.1295
    5.000   0.969131   0.022778   0.010476   0.033255  -0.000000   0.000000  -0.138170  -0.000000  -0.000000   40.0000     0.1255
    5.500   1.013136   0.024881   0.010512   0.035393   0.000000  -0.000000  -0.136887  -0.000000   0.000000   40.0000     0.1219
    6.000   1.056970   0.027069   0.010592   0.037661   0.000000   0.000000  -0.135578   0.000000   0.000000   40.0000     0.1186
    6.500   1.100624   0.029340   0.010774   0.040114  -0.000000   0.000000  -0.134246  -0.000000  -0.000000   40.0000     0.1156
    7.000   1.144090   0.031694   0.011040   0.042734  -0.000000   0.000000  -0.132890  -0.000000  -0.000000   40.0000     0.1128
    7.500   1.187361   0.034129   0.011355   0.045483   0.000000   0.000000  -0.131510  -0.000000  -0.000000   40.0000     0.1102
    8.000   1.230429   0.036642   0.011705   0.048347   0.000000   0.000000  -0.130107   0.000000   0.000000   40.0000     0.1079


