xflr5 v6.10.03

Wing name :        bennettwing700
Wing polar name :  T1-40.0 m/s-VLM2
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000   0.326307   0.002723   0.020821   0.023543   0.000000  -0.000000  -0.096964  -0.000000  -0.000000   40.0000     0.0033
   -1.500   0.370924   0.003490   0.018052   0.021541   0.000000  -0.000000  -0.088796  -0.000000  -0.000000   40.0000    -0.0253
   -1.000   0.415489   0.004352   0.014637   0.018989   0.000000  -0.000000  -0.080578  -0.000000  -0.000000   40.0000    -0.0477
   -0.500   0.459993   0.005311   0.012010   0.017321   0.000000  -0.000000  -0.072386  -0.000000  -0.000000   40.0000    -0.0658
    0.000   0.504429   0.006364   0.010807   0.017171   0.000000  -0.000000  -0.064244  -0.000000  -0.000000   40.0000    -0.0807
    0.500   0.548787   0.007511   0.010468   0.017980   0.000000  -0.000000  -0.056125   0.000000   0.000000   40.0000    -0.0932
    1.000   0.593060   0.008753   0.010434   0.019187   0.000000  -0.000000  -0.048002   0.000000   0.000000   40.0000    -0.1038
    1.500   0.637239   0.010087   0.010429   0.020516   0.000000  -0.000000  -0.039866   0.000000   0.000000   40.0000    -0.1130
    2.000   0.681316   0.011514   0.010442   0.021957   0.000000  -0.000000  -0.031720   0.000000   0.000000   40.0000    -0.1209
    2.500   0.725283   0.013033   0.010472   0.023505   0.000000  -0.000000  -0.023567  -0.000000   0.000000   40.0000    -0.1280
    3.000   0.769131   0.014642   0.010477   0.025119   0.000000  -0.000000  -0.015407  -0.000000   0.000000   40.0000    -0.1342
    3.500   0.812852   0.016340   0.010474   0.026814   0.000000  -0.000000  -0.007245   0.000000   0.000000   40.0000    -0.1398
    4.000   0.856439   0.018127   0.010448   0.028575   0.000000  -0.000000   0.000920   0.000000   0.000000   40.0000    -0.1448
    4.500   0.899883   0.020002   0.010453   0.030455   0.000000  -0.000000   0.009082   0.000000   0.000000   40.0000    -0.1493
    5.000   0.943177   0.021963   0.010470   0.032433   0.000000  -0.000000   0.017241   0.000000   0.000000   40.0000    -0.1535
    5.500   0.986312   0.024009   0.010494   0.034502   0.000000  -0.000000   0.025393   0.000000   0.000000   40.0000    -0.1573
    6.000   1.029281   0.026138   0.010531   0.036669   0.000000  -0.000000   0.033536   0.000000   0.000000   40.0000    -0.1608
    6.500   1.072076   0.028350   0.010613   0.038963   0.000000  -0.000000   0.041668   0.000000   0.000000   40.0000    -0.1640
    7.000   1.114690   0.030642   0.010804   0.041446   0.000000  -0.000000   0.049785   0.000000   0.000000   40.0000    -0.1670
    7.500   1.157114   0.033014   0.011097   0.044111   0.000000  -0.000000   0.057886   0.000000   0.000000   40.0000    -0.1698
    8.000   1.199341   0.035464   0.011438   0.046902   0.000000  -0.000000   0.065968   0.000000   0.000000   40.0000    -0.1724


