xflr5 v6.10.03

Wing name :        bennettwing200
Wing polar name :  T1-20.0 m/s-VLM1
Freestream speed :  20.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000   0.337894   0.002913   0.023749   0.026663  -0.000000  -0.000000  -0.137647  -0.000000  -0.000000   20.0000     0.1998
   -1.500   0.383394   0.003712   0.021232   0.024943  -0.000000   0.000000  -0.134538  -0.000000   0.000000   20.0000     0.1718
   -1.000   0.428837   0.004608   0.018480   0.023088  -0.000000   0.000000  -0.131390   0.000000  -0.000000   20.0000     0.1498
   -0.500   0.474216   0.005602   0.015678   0.021280  -0.000000  -0.000000  -0.128214   0.000000  -0.000000   20.0000     0.1320
    0.000   0.519521   0.006694   0.014329   0.021023  -0.000000  -0.000000  -0.125078  -0.000000   0.000000   20.0000     0.1174
    0.500   0.564745   0.007882   0.013959   0.021841  -0.000000  -0.000000  -0.121958  -0.000000   0.000000   20.0000     0.1050
    1.000   0.609878   0.009166   0.013688   0.022853  -0.000000  -0.000000  -0.118815  -0.000000   0.000000   20.0000     0.0946
    1.500   0.654913   0.010545   0.013502   0.024047  -0.000000  -0.000000  -0.115651   0.000000  -0.000000   20.0000     0.0855
    2.000   0.699841   0.012018   0.013386   0.025405  -0.000000  -0.000000  -0.112465  -0.000000   0.000000   20.0000     0.0777
    2.500   0.744653   0.013585   0.013308   0.026893  -0.000000  -0.000000  -0.109257  -0.000000  -0.000000   20.0000     0.0708
    3.000   0.789341   0.015245   0.013086   0.028331  -0.000000  -0.000000  -0.106021  -0.000000  -0.000000   20.0000     0.0647
    3.500   0.833897   0.016996   0.012954   0.029950  -0.000000  -0.000000  -0.102766   0.000000   0.000000   20.0000     0.0592
    4.000   0.878312   0.018837   0.012827   0.031664  -0.000000   0.000000  -0.099490   0.000000   0.000000   20.0000     0.0543
    4.500   0.922580   0.020768   0.012711   0.033479  -0.000000  -0.000000  -0.096195  -0.000000  -0.000000   20.0000     0.0499
    5.000   0.966690   0.022786   0.012638   0.035424  -0.000000   0.000000  -0.092883  -0.000000  -0.000000   20.0000     0.0459
    5.500   1.010636   0.024891   0.012605   0.037496  -0.000000  -0.000000  -0.089554   0.000000   0.000000   20.0000     0.0422
    6.000   1.054409   0.027082   0.012609   0.039690  -0.000000  -0.000000  -0.086209   0.000000   0.000000   20.0000     0.0389
    6.500   1.098002   0.029356   0.012647   0.042002  -0.000000  -0.000000  -0.082849   0.000000  -0.000000   20.0000     0.0358
    7.000   1.141407   0.031712   0.012740   0.044452  -0.000000  -0.000000  -0.079476   0.000000   0.000000   20.0000     0.0329
    7.500   1.184615   0.034149   0.012937   0.047086  -0.000000  -0.000000  -0.076093   0.000000   0.000000   20.0000     0.0303
    8.000   1.227620   0.036665   0.013248   0.049913  -0.000000   0.000000  -0.072698  -0.000000  -0.000000   20.0000     0.0278


