xflr5 v6.10.03

Wing name :        bennettwing600
Wing polar name :  T1-20.0 m/s-VLM1
Freestream speed :  20.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000   0.331137   0.002853   0.024199   0.027052   0.000000  -0.000000  -0.106197  -0.000000   0.000000   20.0000     0.0435
   -1.500   0.376069   0.003638   0.021695   0.025333   0.000000  -0.000000  -0.099014  -0.000000   0.000000   20.0000     0.0151
   -1.000   0.420944   0.004520   0.018970   0.023490   0.000000  -0.000000  -0.091803  -0.000000  -0.000000   20.0000    -0.0073
   -0.500   0.465754   0.005498   0.016091   0.021589   0.000000  -0.000000  -0.084567  -0.000000  -0.000000   20.0000    -0.0253
    0.000   0.510490   0.006572   0.014376   0.020948   0.000000  -0.000000  -0.077366   0.000000  -0.000000   20.0000    -0.0402
    0.500   0.555144   0.007742   0.013922   0.021664   0.000000  -0.000000  -0.070202   0.000000  -0.000000   20.0000    -0.0526
    1.000   0.599708   0.009006   0.013703   0.022709   0.000000  -0.000000  -0.063030   0.000000   0.000000   20.0000    -0.0633
    1.500   0.644172   0.010364   0.013568   0.023931   0.000000  -0.000000  -0.055849  -0.000000  -0.000000   20.0000    -0.0724
    2.000   0.688530   0.011814   0.013415   0.025229   0.000000  -0.000000  -0.048654   0.000000   0.000000   20.0000    -0.0804
    2.500   0.732772   0.013357   0.013389   0.026747   0.000000  -0.000000  -0.041454  -0.000000  -0.000000   20.0000    -0.0874
    3.000   0.776890   0.014991   0.013186   0.028178   0.000000  -0.000000  -0.034239   0.000000   0.000000   20.0000    -0.0937
    3.500   0.820877   0.016715   0.013020   0.029735  -0.000000  -0.000000  -0.027019  -0.000000   0.000000   20.0000    -0.0992
    4.000   0.864723   0.018528   0.012889   0.031418  -0.000000  -0.000000  -0.019795   0.000000   0.000000   20.0000    -0.1043
    4.500   0.908422   0.020429   0.012764   0.033194   0.000000   0.000000  -0.012569  -0.000000   0.000000   20.0000    -0.1088
    5.000   0.951965   0.022417   0.012660   0.035076   0.000000  -0.000000  -0.005342   0.000000   0.000000   20.0000    -0.1129
    5.500   0.995344   0.024489   0.012611   0.037100  -0.000000  -0.000000   0.001883  -0.000000  -0.000000   20.0000    -0.1167
    6.000   1.038551   0.026646   0.012608   0.039253  -0.000000  -0.000000   0.009103  -0.000000   0.000000   20.0000    -0.1202
    6.500   1.081579   0.028885   0.012629   0.041513  -0.000000  -0.000000   0.016317   0.000000   0.000000   20.0000    -0.1234
    7.000   1.124419   0.031204   0.012692   0.043897   0.000000  -0.000000   0.023523   0.000000   0.000000   20.0000    -0.1264
    7.500   1.167066   0.033603   0.012824   0.046427   0.000000  -0.000000   0.030718   0.000000   0.000000   20.0000    -0.1292
    8.000   1.209510   0.036080   0.013060   0.049140  -0.000000  -0.000000   0.037901   0.000000   0.000000   20.0000    -0.1318


