xflr5 v6.10.03

Wing name :        bennettwing200
Wing polar name :  T1-20.0 m/s-Panel
Freestream speed :  20.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000   0.415743   0.004219   0.019768   0.023987  -0.000000   0.000000  -0.130565   0.000000   0.000000   20.0000     0.1526
   -1.500   0.460341   0.005157   0.017009   0.022166  -0.000000   0.000000  -0.126295   0.000000  -0.000000   20.0000     0.1331
   -1.000   0.504888   0.006188   0.015111   0.021299  -0.000000   0.000000  -0.122015  -0.000000  -0.000000   20.0000     0.1170
   -0.500   0.549380   0.007312   0.014329   0.021642  -0.000000   0.000000  -0.117734  -0.000000  -0.000000   20.0000     0.1035
    0.000   0.593810   0.008529   0.013938   0.022468  -0.000000   0.000000  -0.113415  -0.000000  -0.000000   20.0000     0.0919
    0.500   0.638172   0.009838   0.013707   0.023545  -0.000000   0.000000  -0.109052  -0.000000  -0.000000   20.0000     0.0820
    1.000   0.682462   0.011239   0.013505   0.024744  -0.000000   0.000000  -0.104641  -0.000000  -0.000000   20.0000     0.0733
    1.500   0.726672   0.012729   0.013470   0.026199  -0.000000   0.000000  -0.100188  -0.000000  -0.000000   20.0000     0.0656
    2.000   0.770798   0.014310   0.013285   0.027594  -0.000000   0.000000  -0.095682  -0.000000  -0.000000   20.0000     0.0587
    2.500   0.814833   0.015979   0.013119   0.029098  -0.000000   0.000000  -0.091131  -0.000000  -0.000000   20.0000     0.0526
    3.000   0.858772   0.017735   0.013000   0.030736  -0.000000   0.000000  -0.086538  -0.000000  -0.000000   20.0000     0.0471
    3.500   0.902609   0.019579   0.012888   0.032466  -0.000000   0.000000  -0.081902  -0.000000  -0.000000   20.0000     0.0420
    4.000   0.946339   0.021508   0.012790   0.034298  -0.000000   0.000000  -0.077225  -0.000000  -0.000000   20.0000     0.0374
    4.500   0.989956   0.023521   0.012747   0.036268  -0.000000   0.000000  -0.072509  -0.000000  -0.000000   20.0000     0.0332
    5.000   1.033454   0.025617   0.012726   0.038344  -0.000000   0.000000  -0.067755  -0.000000  -0.000000   20.0000     0.0292
    5.500   1.076828   0.027796   0.012745   0.040540  -0.000000   0.000000  -0.062965  -0.000000  -0.000000   20.0000     0.0256
    6.000   1.120073   0.030054   0.012796   0.042851  -0.000000   0.000000  -0.058140  -0.000000  -0.000000   20.0000     0.0222
    6.500   1.163182   0.032392   0.012922   0.045314  -0.000000   0.000000  -0.053283  -0.000000  -0.000000   20.0000     0.0190
    7.000   1.206151   0.034807   0.013155   0.047962  -0.000000   0.000000  -0.048395  -0.000000  -0.000000   20.0000     0.0160
    7.500   1.248974   0.037297   0.013494   0.050791  -0.000000   0.000000  -0.043479  -0.000000  -0.000000   20.0000     0.0132
    8.000   1.291647   0.039862   0.013898   0.053760  -0.000000   0.000000  -0.038535  -0.000000  -0.000000   20.0000     0.0105


