xflr5 v6.10.03

Wing name :        bennettwing800
Wing polar name :  T1-40.0 m/s-Panel
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000   0.401568   0.004049   0.016205   0.020254  -0.000000   0.000000  -0.073534   0.000000   0.000000   40.0000    -0.0751
   -1.500   0.445114   0.004951   0.013106   0.018057  -0.000000   0.000000  -0.063178   0.000000   0.000000   40.0000    -0.0963
   -1.000   0.488613   0.005945   0.011251   0.017196  -0.000000   0.000000  -0.052838   0.000000   0.000000   40.0000    -0.1138
   -0.500   0.532057   0.007028   0.010725   0.017753  -0.000000  -0.000000  -0.042509   0.000000   0.000000   40.0000    -0.1285
    0.000   0.575442   0.008201   0.010563   0.018765  -0.000000  -0.000000  -0.032146   0.000000   0.000000   40.0000    -0.1411
    0.500   0.618762   0.009464   0.010537   0.020001  -0.000000  -0.000000  -0.021738   0.000000   0.000000   40.0000    -0.1520
    1.000   0.662011   0.010814   0.010540   0.021354  -0.000000  -0.000000  -0.011285   0.000000   0.000000   40.0000    -0.1616
    1.500   0.705183   0.012253   0.010561   0.022814  -0.000000  -0.000000  -0.000791   0.000000   0.000000   40.0000    -0.1701
    2.000   0.748273   0.013779   0.010577   0.024356  -0.000000  -0.000000   0.009742   0.000000   0.000000   40.0000    -0.1776
    2.500   0.791276   0.015390   0.010574   0.025964  -0.000000  -0.000000   0.020311   0.000000   0.000000   40.0000    -0.1844
    3.000   0.834185   0.017087   0.010566   0.027652  -0.000000  -0.000000   0.030911   0.000000   0.000000   40.0000    -0.1906
    3.500   0.876996   0.018867   0.010548   0.029415  -0.000000  -0.000000   0.041542   0.000000   0.000000   40.0000    -0.1962
    4.000   0.919702   0.020731   0.010558   0.031288  -0.000000  -0.000000   0.052198   0.000000   0.000000   40.0000    -0.2014
    4.500   0.962299   0.022676   0.010577   0.033253  -0.000000  -0.000000   0.062877   0.000000   0.000000   40.0000    -0.2061
    5.000   1.004781   0.024702   0.010603   0.035305  -0.000000  -0.000000   0.073575   0.000000   0.000000   40.0000    -0.2106
    5.500   1.047142   0.026807   0.010646   0.037452  -0.000000  -0.000000   0.084290   0.000000   0.000000   40.0000    -0.2147
    6.000   1.089378   0.028990   0.010744   0.039734  -0.000000  -0.000000   0.095018   0.000000   0.000000   40.0000    -0.2185
    6.500   1.131482   0.031250   0.010943   0.042193  -0.000000  -0.000000   0.105755   0.000000   0.000000   40.0000    -0.2222
    7.000   1.173450   0.033584   0.011243   0.044827  -0.000000  -0.000000   0.116498   0.000000   0.000000   40.0000    -0.2256
    7.500   1.215277   0.035993   0.011592   0.047585  -0.000000  -0.000000   0.127245   0.000000   0.000000   40.0000    -0.2288
    8.000   1.256957   0.038473   0.011966   0.050439  -0.000000  -0.000000   0.137993   0.000000   0.000000   40.0000    -0.2319


