xflr5 v6.10.03

Wing name :        bennettwingbase
Wing polar name :  T1-20.0 m/s-Panel
Freestream speed :  20.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000   0.417661   0.004237   0.019624   0.023861   0.000000   0.000000  -0.150376  -0.000000  -0.000000   20.0000     0.2293
   -1.500   0.462306   0.005176   0.016930   0.022106   0.000000   0.000000  -0.148291  -0.000000  -0.000000   20.0000     0.2104
   -1.000   0.506901   0.006208   0.015181   0.021389   0.000000   0.000000  -0.146201  -0.000000  -0.000000   20.0000     0.1947
   -0.500   0.551441   0.007334   0.014379   0.021712   0.000000   0.000000  -0.144102  -0.000000  -0.000000   20.0000     0.1816
    0.000   0.595918   0.008551   0.013975   0.022526   0.000000   0.000000  -0.141968  -0.000000  -0.000000   20.0000     0.1704
    0.500   0.640328   0.009861   0.013708   0.023569   0.000000   0.000000  -0.139788  -0.000000  -0.000000   20.0000     0.1607
    1.000   0.684665   0.011262   0.013496   0.024758   0.000000   0.000000  -0.137560  -0.000000  -0.000000   20.0000     0.1523
    1.500   0.728922   0.012753   0.013448   0.026200   0.000000   0.000000  -0.135289  -0.000000  -0.000000   20.0000     0.1448
    2.000   0.773095   0.014333   0.013256   0.027589   0.000000   0.000000  -0.132962  -0.000000  -0.000000   20.0000     0.1382
    2.500   0.817177   0.016002   0.013102   0.029104   0.000000   0.000000  -0.130587  -0.000000  -0.000000   20.0000     0.1323
    3.000   0.861162   0.017759   0.012983   0.030741   0.000000   0.000000  -0.128166  -0.000000  -0.000000   20.0000     0.1270
    3.500   0.905046   0.019602   0.012873   0.032475   0.000000   0.000000  -0.125699  -0.000000  -0.000000   20.0000     0.1221
    4.000   0.948822   0.021530   0.012785   0.034315   0.000000   0.000000  -0.123187  -0.000000  -0.000000   20.0000     0.1177
    4.500   0.992484   0.023543   0.012746   0.036289   0.000000   0.000000  -0.120631  -0.000000  -0.000000   20.0000     0.1136
    5.000   1.036028   0.025639   0.012731   0.038370   0.000000   0.000000  -0.118031  -0.000000  -0.000000   20.0000     0.1098
    5.500   1.079448   0.027816   0.012750   0.040566   0.000000   0.000000  -0.115389  -0.000000  -0.000000   20.0000     0.1064
    6.000   1.122738   0.030073   0.012807   0.042880   0.000000   0.000000  -0.112705  -0.000000  -0.000000   20.0000     0.1031
    6.500   1.165893   0.032410   0.012946   0.045355   0.000000   0.000000  -0.109982  -0.000000  -0.000000   20.0000     0.1001
    7.000   1.208907   0.034823   0.013198   0.048021   0.000000   0.000000  -0.107222  -0.000000  -0.000000   20.0000     0.0973
    7.500   1.251775   0.037312   0.013548   0.050860   0.000000   0.000000  -0.104426  -0.000000  -0.000000   20.0000     0.0946
    8.000   1.294492   0.039876   0.013959   0.053834   0.000000   0.000000  -0.101592  -0.000000  -0.000000   20.0000     0.0921


