xflr5 v6.10.03

Wing name :        bennettwing200
Wing polar name :  T1-40.0 m/s-VLM1
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000   0.337894   0.002913   0.020211   0.023124  -0.000000  -0.000000  -0.137479  -0.000000  -0.000000   40.0000     0.1998
   -1.500   0.383394   0.003712   0.017118   0.020830  -0.000000   0.000000  -0.134343  -0.000000   0.000000   40.0000     0.1718
   -1.000   0.428837   0.004608   0.013550   0.018158  -0.000000   0.000000  -0.131157  -0.000000  -0.000000   40.0000     0.1498
   -0.500   0.474216   0.005602   0.011411   0.017013  -0.000000  -0.000000  -0.128014  -0.000000  -0.000000   40.0000     0.1320
    0.000   0.519521   0.006694   0.010655   0.017349  -0.000000  -0.000000  -0.124907  -0.000000   0.000000   40.0000     0.1174
    0.500   0.564745   0.007882   0.010476   0.018357  -0.000000  -0.000000  -0.121799   0.000000   0.000000   40.0000     0.1050
    1.000   0.609878   0.009166   0.010463   0.019628  -0.000000  -0.000000  -0.118671  -0.000000   0.000000   40.0000     0.0946
    1.500   0.654913   0.010545   0.010463   0.021008  -0.000000  -0.000000  -0.115516  -0.000000  -0.000000   40.0000     0.0855
    2.000   0.699841   0.012018   0.010471   0.022490  -0.000000  -0.000000  -0.112337   0.000000   0.000000   40.0000     0.0777
    2.500   0.744653   0.013585   0.010475   0.024061  -0.000000  -0.000000  -0.109134  -0.000000  -0.000000   40.0000     0.0708
    3.000   0.789341   0.015245   0.010467   0.025712  -0.000000  -0.000000  -0.105907  -0.000000  -0.000000   40.0000     0.0647
    3.500   0.833897   0.016996   0.010444   0.027440  -0.000000  -0.000000  -0.102658   0.000000   0.000000   40.0000     0.0592
    4.000   0.878312   0.018837   0.010438   0.029275  -0.000000   0.000000  -0.099389   0.000000   0.000000   40.0000     0.0543
    4.500   0.922580   0.020768   0.010453   0.031220  -0.000000  -0.000000  -0.096100  -0.000000  -0.000000   40.0000     0.0499
    5.000   0.966690   0.022786   0.010476   0.033262  -0.000000   0.000000  -0.092792  -0.000000  -0.000000   40.0000     0.0459
    5.500   1.010636   0.024891   0.010507   0.035399  -0.000000  -0.000000  -0.089466   0.000000   0.000000   40.0000     0.0422
    6.000   1.054409   0.027082   0.010574   0.037656  -0.000000  -0.000000  -0.086125   0.000000   0.000000   40.0000     0.0389
    6.500   1.098002   0.029356   0.010743   0.040098  -0.000000  -0.000000  -0.082770  -0.000000  -0.000000   40.0000     0.0358
    7.000   1.141407   0.031712   0.011005   0.042717  -0.000000  -0.000000  -0.079403   0.000000   0.000000   40.0000     0.0329
    7.500   1.184615   0.034149   0.011325   0.045474  -0.000000  -0.000000  -0.076024   0.000000   0.000000   40.0000     0.0303
    8.000   1.227620   0.036665   0.011678   0.048344  -0.000000   0.000000  -0.072633   0.000000  -0.000000   40.0000     0.0278


