xflr5 v6.10.03

Wing name :        bennettwing400
Wing polar name :  T1-20.0 m/s-VLM2
Freestream speed :  20.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000   0.332801   0.002778   0.024046   0.026824   0.000000   0.000000  -0.120567   0.000000  -0.000000   20.0000     0.1203
   -1.500   0.378017   0.003561   0.021551   0.025112   0.000000   0.000000  -0.115372   0.000000  -0.000000   20.0000     0.0920
   -1.000   0.423179   0.004442   0.018842   0.023283   0.000000   0.000000  -0.110145   0.000000  -0.000000   20.0000     0.0699
   -0.500   0.468280   0.005419   0.016032   0.021452   0.000000   0.000000  -0.104891   0.000000  -0.000000   20.0000     0.0519
    0.000   0.513311   0.006494   0.014444   0.020938   0.000000   0.000000  -0.099671  -0.000000  -0.000000   20.0000     0.0372
    0.500   0.558264   0.007664   0.013969   0.021634   0.000000   0.000000  -0.094476  -0.000000  -0.000000   20.0000     0.0248
    1.000   0.603129   0.008930   0.013705   0.022635   0.000000   0.000000  -0.089270   0.000000  -0.000000   20.0000     0.0143
    1.500   0.647899   0.010291   0.013527   0.023818   0.000000   0.000000  -0.084047   0.000000   0.000000   20.0000     0.0052
    2.000   0.692565   0.011746   0.013386   0.025131   0.000000   0.000000  -0.078808   0.000000   0.000000   20.0000    -0.0027
    2.500   0.737118   0.013294   0.013339   0.026632   0.000000   0.000000  -0.073556   0.000000   0.000000   20.0000    -0.0097
    3.000   0.781551   0.014934   0.013120   0.028054   0.000000   0.000000  -0.068282   0.000000   0.000000   20.0000    -0.0158
    3.500   0.825856   0.016665   0.012980   0.029645   0.000000   0.000000  -0.062998   0.000000   0.000000   20.0000    -0.0213
    4.000   0.870023   0.018486   0.012852   0.031339   0.000000   0.000000  -0.057701   0.000000   0.000000   20.0000    -0.0262
    4.500   0.914046   0.020396   0.012736   0.033133   0.000000   0.000000  -0.052393   0.000000   0.000000   20.0000    -0.0307
    5.000   0.957915   0.022395   0.012647   0.035042   0.000000   0.000000  -0.047077   0.000000   0.000000   20.0000    -0.0348
    5.500   1.001624   0.024479   0.012608   0.037087   0.000000   0.000000  -0.041754   0.000000   0.000000   20.0000    -0.0385
    6.000   1.045163   0.026649   0.012608   0.039257   0.000000   0.000000  -0.036426   0.000000   0.000000   20.0000    -0.0419
    6.500   1.088525   0.028902   0.012639   0.041542   0.000000   0.000000  -0.031093   0.000000   0.000000   20.0000    -0.0450
    7.000   1.131703   0.031238   0.012714   0.043952   0.000000   0.000000  -0.025759   0.000000   0.000000   20.0000    -0.0479
    7.500   1.174689   0.033655   0.012879   0.046534   0.000000   0.000000  -0.020424   0.000000   0.000000   20.0000    -0.0506
    8.000   1.217474   0.036150   0.013156   0.049307   0.000000   0.000000  -0.015091   0.000000   0.000000   20.0000    -0.0531


