xflr5 v6.10.03

Wing name :        bennettwing400
Wing polar name :  T1-40.0 m/s-Panel
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000   0.412373   0.004181   0.015327   0.019509   0.000000  -0.000000  -0.110922  -0.000000  -0.000000   40.0000     0.0758
   -1.500   0.456768   0.005112   0.012466   0.017578   0.000000  -0.000000  -0.104545  -0.000000  -0.000000   40.0000     0.0558
   -1.000   0.501113   0.006136   0.011068   0.017204   0.000000  -0.000000  -0.098185  -0.000000  -0.000000   40.0000     0.0392
   -0.500   0.545403   0.007253   0.010658   0.017911   0.000000  -0.000000  -0.091817  -0.000000  -0.000000   40.0000     0.0253
    0.000   0.589631   0.008462   0.010595   0.019057   0.000000  -0.000000  -0.085412  -0.000000  -0.000000   40.0000     0.0134
    0.500   0.633793   0.009763   0.010576   0.020339   0.000000  -0.000000  -0.078957  -0.000000  -0.000000   40.0000     0.0032
    1.000   0.677882   0.011154   0.010570   0.021724   0.000000  -0.000000  -0.072453  -0.000000  -0.000000   40.0000    -0.0058
    1.500   0.721892   0.012636   0.010559   0.023195   0.000000  -0.000000  -0.065901   0.000000  -0.000000   40.0000    -0.0138
    2.000   0.765818   0.014207   0.010564   0.024771   0.000000  -0.000000  -0.059306   0.000000   0.000000   40.0000    -0.0208
    2.500   0.809655   0.015866   0.010552   0.026418   0.000000  -0.000000  -0.052667   0.000000   0.000000   40.0000    -0.0272
    3.000   0.853395   0.017612   0.010532   0.028144   0.000000  -0.000000  -0.045987   0.000000   0.000000   40.0000    -0.0329
    3.500   0.897035   0.019445   0.010536   0.029981   0.000000  -0.000000  -0.039269   0.000000   0.000000   40.0000    -0.0382
    4.000   0.940568   0.021363   0.010556   0.031919   0.000000  -0.000000  -0.032515   0.000000   0.000000   40.0000    -0.0430
    4.500   0.983988   0.023365   0.010581   0.033946   0.000000  -0.000000  -0.025726   0.000000   0.000000   40.0000    -0.0474
    5.000   1.027290   0.025450   0.010616   0.036066   0.000000  -0.000000  -0.018904   0.000000   0.000000   40.0000    -0.0515
    5.500   1.070470   0.027616   0.010694   0.038310   0.000000  -0.000000  -0.012052   0.000000   0.000000   40.0000    -0.0553
    6.000   1.113520   0.029862   0.010871   0.040733   0.000000  -0.000000  -0.005174   0.000000   0.000000   40.0000    -0.0589
    6.500   1.156436   0.032187   0.011143   0.043330   0.000000  -0.000000   0.001728   0.000000   0.000000   40.0000    -0.0622
    7.000   1.199212   0.034589   0.011466   0.046055   0.000000  -0.000000   0.008654   0.000000   0.000000   40.0000    -0.0654
    7.500   1.241843   0.037066   0.011820   0.048886   0.000000  -0.000000   0.015602   0.000000   0.000000   40.0000    -0.0683
    8.000   1.284324   0.039617   0.012187   0.051805   0.000000  -0.000000   0.022568   0.000000   0.000000   40.0000    -0.0711


