xflr5 v6.10.03

Wing name :        bennettwing200
Wing polar name :  T1-40.0 m/s-VLM2
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000   0.335824   0.002799   0.020326   0.023125  -0.000000  -0.000000  -0.136339  -0.000000   0.000000   40.0000     0.1993
   -1.500   0.381254   0.003588   0.017286   0.020874  -0.000000  -0.000000  -0.133195  -0.000000   0.000000   40.0000     0.1713
   -1.000   0.426631   0.004474   0.013735   0.018210  -0.000000  -0.000000  -0.130001  -0.000000   0.000000   40.0000     0.1492
   -0.500   0.471945   0.005458   0.011542   0.017000  -0.000000  -0.000000  -0.126846  -0.000000   0.000000   40.0000     0.1314
    0.000   0.517189   0.006539   0.010689   0.017228  -0.000000  -0.000000  -0.123724   0.000000   0.000000   40.0000     0.1168
    0.500   0.562354   0.007717   0.010496   0.018213  -0.000000  -0.000000  -0.120606   0.000000   0.000000   40.0000     0.1044
    1.000   0.607431   0.008990   0.010478   0.019468  -0.000000  -0.000000  -0.117468   0.000000  -0.000000   40.0000     0.0940
    1.500   0.652412   0.010359   0.010470   0.020829  -0.000000  -0.000000  -0.114304   0.000000  -0.000000   40.0000     0.0850
    2.000   0.697289   0.011822   0.010477   0.022299  -0.000000  -0.000000  -0.111116   0.000000  -0.000000   40.0000     0.0771
    2.500   0.742053   0.013379   0.010474   0.023853  -0.000000  -0.000000  -0.107904  -0.000000  -0.000000   40.0000     0.0702
    3.000   0.786696   0.015028   0.010461   0.025489  -0.000000  -0.000000  -0.104668  -0.000000  -0.000000   40.0000     0.0641
    3.500   0.831209   0.016769   0.010440   0.027209  -0.000000  -0.000000  -0.101411  -0.000000  -0.000000   40.0000     0.0587
    4.000   0.875585   0.018600   0.010434   0.029034  -0.000000  -0.000000  -0.098133  -0.000000  -0.000000   40.0000     0.0538
    4.500   0.919814   0.020521   0.010450   0.030971  -0.000000  -0.000000  -0.094837  -0.000000  -0.000000   40.0000     0.0494
    5.000   0.963890   0.022530   0.010474   0.033004  -0.000000  -0.000000  -0.091521  -0.000000  -0.000000   40.0000     0.0453
    5.500   1.007804   0.024626   0.010505   0.035131  -0.000000  -0.000000  -0.088188  -0.000000  -0.000000   40.0000     0.0417
    6.000   1.051548   0.026807   0.010571   0.037378  -0.000000  -0.000000  -0.084839   0.000000  -0.000000   40.0000     0.0384
    6.500   1.095114   0.029073   0.010736   0.039809  -0.000000  -0.000000  -0.081477  -0.000000  -0.000000   40.0000     0.0353
    7.000   1.138495   0.031421   0.010995   0.042416  -0.000000  -0.000000  -0.078103   0.000000  -0.000000   40.0000     0.0324
    7.500   1.181682   0.033850   0.011310   0.045161  -0.000000  -0.000000  -0.074717   0.000000  -0.000000   40.0000     0.0298
    8.000   1.224669   0.036359   0.011660   0.048019  -0.000000  -0.000000  -0.071320   0.000000  -0.000000   40.0000     0.0274


